Year,Country,Country (Code),Attribute,Sector (NACE rev. 2),Value
2008,France,FR,Number of persons employed,Liquid biofuels,1890.307809
2008,France,FR,Number of persons employed,Paper,67891.25
2008,France,FR,Number of persons employed,Rubber and bio-based plastics,9135.908815
2008,France,FR,Number of persons employed,Tobacco,1838
2008,France,FR,Number of persons employed,Total sectors,25926400
2008,France,FR,Number of persons employed,Wood products,76010.42257
2008,France,FR,Number of persons employed,Wood products and furniture,103253.1927
2008,France,FR,Number of persons employed,Wooden furniture,27242.77012
2008,Germany,DE,Number of persons employed,Agriculture,614000
2008,Germany,DE,Number of persons employed,Beverage,75541
2008,Germany,DE,Number of persons employed,Bio-based chemicals (excluding biofuels),20159.79118
2008,Germany,DE,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",92551.81726
2008,Germany,DE,Number of persons employed,Bio-based pharmaceuticals,58888.86591
2008,Germany,DE,Number of persons employed,Bio-based textile,25450.6228
2008,Germany,DE,Number of persons employed,Bio-based textiles,52539.32522
2008,Germany,DE,Number of persons employed,Bio-based wearing apparel,17791.3366
2008,Germany,DE,Number of persons employed,Biodiesel,6095.597725
2008,Germany,DE,Number of persons employed,Bioeconomy,2021026.319
2008,Germany,DE,Number of persons employed,Bioethanol,360.3659045
2008,Germany,DE,Number of persons employed,Fishing and Aquaculture,5000
2008,Germany,DE,Number of persons employed,Food,769875
2008,Germany,DE,Number of persons employed,"Food, beverage and tobacco",855896
2008,Germany,DE,Number of persons employed,Forestry,38000
2008,Germany,DE,Number of persons employed,Leather,9297.365814
2008,Germany,DE,Number of persons employed,Liquid biofuels,6455.96363
2008,Germany,DE,Number of persons employed,Paper,142404.375
2008,Germany,DE,Number of persons employed,Rubber and bio-based plastics,13503.16017
2008,Germany,DE,Number of persons employed,Tobacco,10480
2008,Germany,DE,Number of persons employed,Total sectors,38541500
2008,Germany,DE,Number of persons employed,Wood products,134932.0587
2008,Germany,DE,Number of persons employed,Wood products and furniture,214178.8378
2008,Germany,DE,Number of persons employed,Wooden furniture,79246.77911
2008,Greece,EL,Number of persons employed,Agriculture,501320
2008,Greece,EL,Number of persons employed,Beverage,10139
2008,Greece,EL,Number of persons employed,Bio-based chemicals (excluding biofuels),930.2680278
2008,Greece,EL,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",4146.115258
2008,Greece,EL,Number of persons employed,Bio-based electricity,67.88577185
2008,Greece,EL,Number of persons employed,Bio-based pharmaceuticals,2953.817068
2008,Greece,EL,Number of persons employed,Bio-based textile,6515.810129
2008,Greece,EL,Number of persons employed,Bio-based textiles,24105.26529
2008,Greece,EL,Number of persons employed,Bio-based wearing apparel,15111.08016
2008,Greece,EL,Number of persons employed,Biodiesel,430.3364166
2008,Greece,EL,Number of persons employed,Bioeconomy,696466.6468
2008,Greece,EL,Number of persons employed,Bioethanol,241.1912656
2008,Greece,EL,Number of persons employed,Fishing and Aquaculture,22630
2008,Greece,EL,Number of persons employed,Food,91232
2008,Greece,EL,Number of persons employed,"Food, beverage and tobacco",103642
2008,Greece,EL,Number of persons employed,Forestry,5500
2008,Greece,EL,Number of persons employed,Leather,2478.375
2008,Greece,EL,Number of persons employed,Liquid biofuels,671.5276822
2008,Greece,EL,Number of persons employed,Paper,9305.875
2008,Greece,EL,Number of persons employed,Rubber and bio-based plastics,262.0301625
2008,Greece,EL,Number of persons employed,Tobacco,2271
2008,Greece,EL,Number of persons employed,Total sectors,4610500
2008,Greece,EL,Number of persons employed,Wood products,13682.91895
2008,Greece,EL,Number of persons employed,Wood products and furniture,25077.97783
2008,Greece,EL,Number of persons employed,Wooden furniture,11395.05889
2008,Hungary,HU,Number of persons employed,Agriculture,164230
2008,Hungary,HU,Number of persons employed,Beverage,14738
2008,Hungary,HU,Number of persons employed,Bio-based chemicals (excluding biofuels),732.1064098
2008,Hungary,HU,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",10287.47877
2008,Hungary,HU,Number of persons employed,Bio-based electricity,459.0939388
2008,Hungary,HU,Number of persons employed,Bio-based pharmaceuticals,7989.495473
2008,Hungary,HU,Number of persons employed,Bio-based textile,4034.501951
2008,Hungary,HU,Number of persons employed,Bio-based textiles,22794.75357
2008,Hungary,HU,Number of persons employed,Bio-based wearing apparel,13741.58881
2008,Hungary,HU,Number of persons employed,Biodiesel,0
2008,Hungary,HU,Number of persons employed,Bioeconomy,372631.366
2008,Hungary,HU,Number of persons employed,Bioethanol,80.31623775
2008,Hungary,HU,Number of persons employed,Fishing and Aquaculture,2790
2008,Hungary,HU,Number of persons employed,Food,95509
2008,Hungary,HU,Number of persons employed,"Food, beverage and tobacco",111303
2008,Hungary,HU,Number of persons employed,Forestry,13940
2008,Hungary,HU,Number of persons employed,Leather,5018.662807
2008,Hungary,HU,Number of persons employed,Liquid biofuels,80.31623775
2008,Hungary,HU,Number of persons employed,Paper,11739.125
2008,Hungary,HU,Number of persons employed,Rubber and bio-based plastics,1565.876885
2008,Hungary,HU,Number of persons employed,Tobacco,1056
2008,Hungary,HU,Number of persons employed,Total sectors,3848300
2008,Hungary,HU,Number of persons employed,Wood products,21954.69822
2008,Hungary,HU,Number of persons employed,Wood products and furniture,35007.59848
2008,Hungary,HU,Number of persons employed,Wooden furniture,13052.90026
2008,Ireland,IE,Number of persons employed,Agriculture,111620
2008,Ireland,IE,Number of persons employed,Beverage,4491
2008,Ireland,IE,Number of persons employed,Bio-based chemicals (excluding biofuels),188.8880048
2008,Ireland,IE,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",6997.549935
2008,Ireland,IE,Number of persons employed,Bio-based pharmaceuticals,6719.463559
2008,Ireland,IE,Number of persons employed,Bio-based textile,636.8893979
2008,Ireland,IE,Number of persons employed,Bio-based textiles,1297.021589
2008,Ireland,IE,Number of persons employed,Bio-based wearing apparel,592.7639733
2008,Ireland,IE,Number of persons employed,Bioeconomy,180962.9744
2008,Ireland,IE,Number of persons employed,Bioethanol,0
2008,Ireland,IE,Number of persons employed,Fishing and Aquaculture,2190
2008,Ireland,IE,Number of persons employed,Food,38966
2008,Ireland,IE,Number of persons employed,"Food, beverage and tobacco",43457
2008,Ireland,IE,Number of persons employed,Forestry,1990
2008,Ireland,IE,Number of persons employed,Leather,67.36821786
2008,Ireland,IE,Number of persons employed,Liquid biofuels,0
2008,Ireland,IE,Number of persons employed,Paper,3089.25
2008,Ireland,IE,Number of persons employed,Rubber and bio-based plastics,89.19837057
2008,Ireland,IE,Number of persons employed,Total sectors,2199000
2008,Ireland,IE,Number of persons employed,Wood products,6462
2008,Ireland,IE,Number of persons employed,Wood products and furniture,10322.15291
2008,Ireland,IE,Number of persons employed,Wooden furniture,3860.15291
2008,Italy,IT,Number of persons employed,Agriculture,904800
2008,Italy,IT,Number of persons employed,Beverage,35977
2008,Italy,IT,Number of persons employed,Bio-based chemicals (excluding biofuels),11925.66999
2008,Italy,IT,Number of persons employed,"Bio-based chemicals, pharmaceuticals, plastics and rubber (excl. biofuels)",54119.19604
2008,Italy,IT,Number of persons employed,Bio-based electricity,464.2122705
2008,Italy,IT,Number of persons employed,Bio-based pharmaceuticals,35922.48721
2008,Italy,IT,Number of persons employed,Bio-based textile,77610.61681
2008,Italy,IT,Number of persons employed,Bio-based textiles,270572.631
2008,Italy,IT,Number of persons employed,Bio-based wearing apparel,119853.3107
2008,Italy,IT,Number of persons employed,Biodiesel,1343.0217
2008,Italy,IT,Number of persons employed,Bioeconomy,2068338.496
2008,Italy,IT,Number of persons employed,Bioethanol,614.8521983
2008,Italy,IT,Number of persons employed,Fishing and Aquaculture,27100
2008,Italy,IT,Number of persons employed,Food,400964
2008,Italy,IT,Number of persons employed,"Food, beverage and tobacco",438025
2008,Italy,IT,Number of persons employed,Forestry,30000
2008,Italy,IT,Number of persons employed,Leather,73108.70357
2008,Italy,IT,Number of persons employed,Liquid biofuels,1957.873898
